challengeId,name,numOfRegistrants,numOfSubmissions,status,submission_window_hours,totalPrizeCost
eb8e5880-5f36-4952-8fbd-dc53c0130b20,Learn Swift $100 Playground Challenge,3296,1637,Completed,,100000
3ac54fef-c813-4009-a51b-bbd92e96f84e,MESH01 Code Blitz,5,1,Completed,,40000
074e37c7-e71a-4403-9056-a754eebd630f,Box Mobile Developer Challenge,141,36,Completed,,35400
19ef1a62-01df-4057-af2b-489cc624d9da,fmow 1st Place pfr,1,1,Completed,,25000
833d93b4-9894-4302-b573-d4bcca672fa6,Spacenet3 1st prize,1,1,Completed,,25000
22fd847b-ca41-4fbf-b86e-89582f1a0dac,Spacnet4 1st place,1,1,Completed,,25000
d6e40d88-5f45-4ac8-8837-be52d4dc433f,NASA High Performance Fast Computing Challenge Architecture,341,0,Cancelled - Zero Submissions,,25000
6c609f59-f905-4d91-8f93-f996531bc393,IN PERSON TCO19 - Shell GameChanger Hackathon,43,8,Completed,,23000
7bd87b29-118d-4de5-be29-ed9ac7e71baa,TCO13 SuperAwesome Cloud API Mashathon,9,7,Completed,,22000
306a0eea-4b18-4468-b890-e67de133ff25,Phase 2 - Best Overall Score 1st Place  Prize - rekcahd,1,1,Completed,,21000
