task_id,dataset_id,dataset_path,title,task_type,resolved_task_type,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,router_rationale,router_heuristics,solver_used,solver_name,verifier_type,verifier_name,verifier_score,used_synthesized_tests,self_check_only,self_check_pass_rate,self_check_passed,memory_hint_count,memory_hints_retrieved,artifact_path,unit_test_report_path,deliverable_path,patch_path,repo_log_path,rubric_path,classification_path,verification_path,reflections_path,raw_agent_response_path,repaired_agent_response_path,failure_signature,failing_tests,last_error,llm_calls_used,timed_out,timeout_reason,unit_test_success,deliverable_success
number_primes_test,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Prime Count (test),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T19:53:59.305787,2026-02-24T19:54:06.367276,7.061489,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/extracted_tests/number_primes_test.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/unit_tests/number_primes_test.json,,,,,,,,,,,,,2.0,False,,True,False
694f790b-9a05-494a-a679-212983382fba,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Message Center - QA and bug fixes,repo_patch,repo_patch,completed_patch,success,0.0,False,0.0,,,0.0,2026-02-24T19:54:06.367889,2026-02-24T19:54:10.722346,4.354457,False,n/a,,Looks like repository/app maintenance task,repo_keywords,repo_patch,repo_patch,rubric_repo_patch,repo_patch,92.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/694f790b-9a05-494a-a679-212983382fba_patch.md,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/patches/694f790b-9a05-494a-a679-212983382fba.diff,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/repo_logs/694f790b-9a05-494a-a679-212983382fba.json,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/694f790b-9a05-494a-a679-212983382fba_repo_patch.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/694f790b-9a05-494a-a679-212983382fba_agent_raw.txt,,,,,1.0,False,,False,True
97745303-0ae1-4196-87db-3a03c1909b13,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2023-01-01_2023-01-31/page1.json,Topcoder O/R F2F - Submissions Tab has Winners Marked in it but shouldn't,data_etl,data_etl,completed_data_etl,success,0.0,False,0.0,,,0.0,2026-02-24T19:54:10.722604,2026-02-24T19:54:24.735541,14.012937,False,n/a,,Mentions ETL/pipeline terminology,data_etl_keywords,data_etl,data_etl,rubric_data_etl,data_etl,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/97745303-0ae1-4196-87db-3a03c1909b13_etl.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/97745303-0ae1-4196-87db-3a03c1909b13_data_etl.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/97745303-0ae1-4196-87db-3a03c1909b13_agent_raw.txt,,,,,1.0,False,,False,True
4fea455b-76f7-4e66-80a6-98b667d98670,data_processed_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/processed/tasks.csv,Topcoder O/R F2F - Members cannot download submissions anymore,data_etl,data_etl,completed_data_etl,success,0.0,False,0.0,,,0.0,2026-02-24T19:54:24.736342,2026-02-24T19:54:36.926064,12.189722,False,n/a,,Mentions ETL/pipeline terminology,"function_signature,data_etl_keywords",data_etl,data_etl,rubric_data_etl,data_etl,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/4fea455b-76f7-4e66-80a6-98b667d98670_etl.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/4fea455b-76f7-4e66-80a6-98b667d98670_data_etl.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/4fea455b-76f7-4e66-80a6-98b667d98670_agent_raw.txt,,,,,1.0,False,,False,True
string_freq,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Char Frequency,algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T19:54:36.926178,2026-02-24T19:54:42.312791,5.386613,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/extracted_tests/string_freq.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/unit_tests/string_freq.json,,,,,,,,,,,,,2.0,False,,True,False
array_prefix_ood,experiments_decomposition_benchmark_tasks.json,/Users/karanallagh/Desktop/DataCollector/experiments/decomposition/benchmark_tasks.json,Prefix Sum (ood),algo_coding,algo_coding,success,success,1.0,True,1.0,contract_first,contract_first,0.0,2026-02-24T19:54:42.313036,2026-02-24T19:54:46.446569,4.133533,True,provided,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/extracted_tests/array_prefix_ood.json,Executable tests were provided,metadata_tests,algo_coding,algo_coding,unit_tests,unit_tests,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/unit_tests/array_prefix_ood.json,,,,,,,,,,,,,2.0,False,,True,False
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page2.json,Topcoder Identity Service Tests Improvement Part 1,non_actionable,architecture_doc,failed_architecture_doc,deliverable_parse_error,0.0,False,0.0,,,0.0,2026-02-24T19:54:46.446801,2026-02-24T19:55:07.183748,20.736947,False,n/a,,Detected hiring/recruiting language,hiring_signal,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,0.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,,,,,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/29f79b9f-32ef-43e5-8298-1028dfbf1136_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/29f79b9f-32ef-43e5-8298-1028dfbf1136_agent_repair.txt,,,,2.0,False,,False,False
65b7f3c8-06a6-422b-92d9-6353fa5c3a2d,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,72 Hours!! - Topcoder Review App - API Integration for My Active Challenge Page,non_actionable,architecture_doc,failed_architecture_doc,failed_rubric,0.0,False,0.0,,,0.0,2026-02-24T19:55:07.187128,2026-02-24T19:55:28.241626,21.054498,False,n/a,,Detected hiring/recruiting language,hiring_signal,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,40.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/65b7f3c8-06a6-422b-92d9-6353fa5c3a2d.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/65b7f3c8-06a6-422b-92d9-6353fa5c3a2d_architecture_doc.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/65b7f3c8-06a6-422b-92d9-6353fa5c3a2d_agent_raw.txt,,,,,1.0,False,,False,False
ac7837cd-349d-4a6a-aa97-82f1d19ad557,data_raw_tasks.csv,/Users/karanallagh/Desktop/DataCollector/data/raw/tasks.csv,Topcoder Review API - Branch Merge and Code Fixes for Review API,data_etl,data_etl,completed_data_etl,success,0.0,False,0.0,,,0.0,2026-02-24T19:55:28.243132,2026-02-24T19:55:36.545581,8.302449,False,n/a,,Mentions ETL/pipeline terminology,data_etl_keywords,data_etl,data_etl,rubric_data_etl,data_etl,100.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/ac7837cd-349d-4a6a-aa97-82f1d19ad557_etl.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/ac7837cd-349d-4a6a-aa97-82f1d19ad557_data_etl.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/ac7837cd-349d-4a6a-aa97-82f1d19ad557_agent_raw.txt,,,,,1.0,False,,False,True
b094c72f-4e9c-4582-9f00-4eec70d7c687,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,/Users/karanallagh/Desktop/DataCollector/challenge_data/challengeData_2025-06-01_2025-10-08/page1.json,Test,non_actionable,architecture_doc,failed_architecture_doc,failed_rubric,0.0,False,0.0,,,0.0,2026-02-24T19:55:36.545860,2026-02-24T19:55:49.509454,12.963594,False,n/a,,Insufficient details to act on,missing_statement,architecture_doc,architecture_doc,rubric_architecture_doc,architecture_doc,70.0,False,False,0.0,False,3,3,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_gate,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/b094c72f-4e9c-4582-9f00-4eec70d7c687.md,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/rubric/b094c72f-4e9c-4582-9f00-4eec70d7c687_architecture_doc.json,,,,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_gate/deliverables/b094c72f-4e9c-4582-9f00-4eec70d7c687_agent_raw.txt,,,,,1.0,False,,False,False
